medstat_id,medstat_name,n_municipalities,municipalities,any_ambiguous
TG21,Romanshorn,3,Kesswil; Romanshorn; Uttwil,FALSE
TG22,Egnach,3,Egnach; Roggwil (TG); Salmsach,TRUE
TG23,Bischofszell,2,Bischofszell; Hauptwil-Gottshaus,FALSE
TG24,Arbon-Horn,2,Arbon; Horn,FALSE
TI01,Riviera,1,Riviera,TRUE
TI02,Biasca,1,Biasca,TRUE
TI03,Val Blenio,3,Acquarossa; Blenio; Serravalle,TRUE
TI04,Bassa Leventina,4,Faido; Giornico; Personico; Pollegio,TRUE
TI05,Alta Leventina,4,Airolo; Bedretto; Dalpe; Quinto,FALSE
TI06,Magadino-Gambarogno,4,Cugnasco-Gerra; Gambarogno; Lavertezzo; Locarno,TRUE
TI07,Gordola-Verzasca,5,Brione sopra Minusio; Gordola; Mergoscia; Tenero-Contra; Verzasca,TRUE
TI08,Locarno,2,Muralto; Orselina,TRUE
TI09,Losone-Centovalli-Onsernone,4,Centovalli; Losone; Onsernone; Terre di Pedemonte,FALSE
TI10,Ascona-Brissago,3,Ascona; Brissago; Ronco sopra Ascona,TRUE
TI11,Minusio-Orselina,1,Minusio,FALSE
TI12,Vallemaggia,8,Avegno Gordevio; Bosco/Gurin; Campo (Vallemaggia); Cerentino; Cevio; Lavizzara; Linescio; Maggia,FALSE
TI13,NA,NA,NA,NA
TI14,Lumino-Carasso,2,Arbedo-Castione; Lumino,FALSE
TI15,Giubiasco-Val Morobbia,1,Bellinzona,TRUE
TI16,Alto Piano di Magadino,2,Cadenazzo; Sant'Antonino,TRUE
TI17,Alto Vedeggio,5,Comunanza Cadenazzo/Monteceneri; Isone; Mezzovico-Vira; Monteceneri; Torricella-Taverne,FALSE
TI18,Alto Val d'Agno,6,Bedano; Cadempino; Gravesano; Lamone; Manno; Vezia,TRUE
TI19,Collina d'Oro-Arbòstora,6,Collina d'Oro; Grancia; Lugano; Melide; Morcote; Vico Morcote,TRUE
TI20,Lugano,2,Massagno; Paradiso,FALSE
TI21,NA,NA,NA,NA
TI22,Breganzona,2,Muzzano; Sorengo,TRUE
TI23,Magliaso-Val d'Agno,7,Agno; Aranno; Bioggio; Cademario; Magliaso; Neggio; Vernate,FALSE
TI24,Malcantone,5,Alto Malcantone; Caslano; Lema; Pura; Tresa,FALSE
TI25,Savosa-Comano,5,Canobbio; Comano; Cureglia; Porza; Savosa,FALSE
TI26,Capriasca-Valcolla,3,Capriasca; Origlio; Ponte Capriasca,TRUE
TI27,NA,NA,NA,NA
TI28,NA,NA,NA,NA
TI29,Riva-Valle Mara,5,Arogno; Bissone; Brusino Arsizio; Riva San Vitale; Val Mara,FALSE
TI30,Balerna-Novazzano,4,Balerna; Castel San Pietro; Coldrerio; Novazzano,TRUE
TI31,Chiasso,1,Chiasso,FALSE
TI32,Val di Muggio,3,Breggia; Morbio Inferiore; Vacallo,FALSE
TI33,NA,NA,NA,NA
TI34,Stabio-Meride,2,Mendrisio; Stabio,TRUE
UR01,Seelisberg,3,Isenthal; Seedorf (UR); Seelisberg,FALSE
UR02,Altdorf,4,Altdorf (UR); Flüelen; Riemenstalden; Sisikon,FALSE
UR03,Schattdorf-Schächental,3,Bürglen (UR); Schattdorf; Spiringen,TRUE
UR04,Mittleres Uri,5,Erstfeld; Göschenen; Gurtnellen; Silenen; Wassen,FALSE
UR05,Urseren,3,Andermatt; Hospental; Realp,FALSE
VD01,Avenches,3,Cudrefin; Faoug; Vully-les-Lacs,TRUE
VD02,Epalinges-Forains,2,Epalinges; Pully,TRUE
VD03,Lausanne-Centre,1,Lausanne,TRUE
VD04,NA,NA,NA,NA
VD05,NA,NA,NA,NA
VD06,NA,NA,NA,NA
VD07,Prilly,2,Jouxtens-Mézery; Prilly,FALSE
VD08,NA,NA,NA,NA
VD09,NA,NA,NA,NA
VD10,NA,NA,NA,NA
VD11,NA,NA,NA,NA
VD12,Renens,1,Renens (VD),FALSE
VD13,Ecublens-Chavannes,3,Chavannes-près-Renens; Ecublens (VD); Saint-Sulpice (VD),FALSE
VD14,Bussigny-Crissier,3,Bussigny; Crissier; Villars-Sainte-Croix,TRUE
VD15,Romanel-Cheseaux,2,Cheseaux-sur-Lausanne; Romanel-sur-Lausanne,FALSE
VD16,Hauts-de-Lausanne,5,Bretigny-sur-Morrens; Cugy (VD); Froideville; Le Mont-sur-Lausanne; Morrens (VD),FALSE
VD17,Savigny-Belmont,3,Belmont-sur-Lausanne; Lutry; Savigny,TRUE
VD18,Lutry,1,Paudex,FALSE
VD19,Basse-Venoge,4,Denges; Echandens; Lonay; Préverenges,FALSE
VD20,Morges,1,Morges,FALSE
VD21,Hauts-de-Morges,11,Aclens; Bremblens; Chigny; Clarmont; Echichens; Hautemorges; Romanel-sur-Morges; Vaux-sur-Morges; Vufflens-le-Château; Vullierens; Yens,TRUE
VD22,St-Prex,6,Denens; Lully (VD); Lussy-sur-Morges; Saint-Prex; Tolochenaz; Villars-sous-Yens,FALSE
VD23,Pied-du-Jura,13,Aubonne; Ballens; Berolle; Bière; Gimel; Le Vaud; Longirod; Marchissy; Mollens (VD); Saint-George; Saint-Livres; Saint-Oyens; Saubraz,TRUE
VD24,Aubonne-Littoral,5,Allaman; Buchillon; Etoy; Féchy; Lavigny,TRUE
VD25,Rolle-La Côte,12,Bougy-Villars; Bursinel; Bursins; Dully; Essertines-sur-Rolle; Gilly; Luins; Mont-sur-Rolle; Perroy; Rolle; Tartegnin; Vinzel,TRUE
VD26,Gland,1,Gland,FALSE
VD27,Nyon,2,Nyon; Prangins,TRUE
VD28,Bonmont,10,Arnex-sur-Nyon; Borex; Chéserex; Crans (VD); Crassier; Eysins; Gingins; Grens; La Rippe; Signy-Avenex,FALSE
VD29,Promenthouse,5,Begnins; Burtigny; Coinsins; Duillier; Vich,FALSE
VD30,Trélex-Givrine,6,Arzier-Le Muids; Bassins; Genolier; Givrins; Saint-Cergue; Trélex,TRUE
VD31,Terre-Sainte,6,Bogis-Bossey; Chavannes-de-Bogis; Commugny; Coppet; Founex; Tannay,FALSE
VD32,Puidoux-Chexbres,4,Chexbres; Puidoux; Rivaz; Saint-Saphorin (Lavaux),TRUE
VD33,Cully-Lavaux,2,Bourg-en-Lavaux; Forel (Lavaux),TRUE
VD34,Vevey,1,Vevey,FALSE
VD35,Mont-Pèlerin,4,Chardonne; Corseaux; Corsier-sur-Vevey; Jongny,FALSE
VD36,Hauts-de-la-Tour,1,Blonay - Saint-Légier,FALSE
VD37,La Tour-de-Peilz,1,La Tour-de-Peilz,FALSE
VD38,Clarens-Les Avants,1,Montreux,TRUE
VD39,Montreux-Chillon,1,Veytaux,FALSE
VD40,Villeneuve-Chablais,7,Chessel; Corbeyrier; Noville; Rennaz; Roche (VD); Villeneuve (VD); Yvorne,FALSE
VD41,Les Ormonts,4,Aigle; Leysin; Ormont-Dessous; Ormont-Dessus,TRUE
VD42,Ollon-Villars,1,Ollon,TRUE
VD43,NA,NA,NA,NA
VD44,Bex,3,Bex; Gryon; Lavey-Morcles,FALSE
VD45,Pays-d'Enhaut,3,Château-d'Oex; Rossinière; Rougemont,FALSE
VD46,Venoge-Est,9,Bettens; Bournens; Boussens; Daillens; Mex (VD); Penthalaz; Penthaz; Sullens; Vufflens-la-Ville,TRUE
VD47,Echallens,5,Assens; Echallens; Etagnières; Saint-Barthélemy (VD); Villars-le-Terroir,FALSE
VD48,Jorat-Essertines,11,Bercher; Bottens; Boulens; Essertines-sur-Yverdon; Fey; Jorat-Menthue; Montilliez; Pailly; Poliez-Pittet; Rueyres; Vuarrens,TRUE
VD49,Cossonay-Pied-du-Jura,15,Chavannes-le-Veyron; Chevilly; Cossonay; Cuarnens; Dizy; Gollion; Grancy; L'Isle; La Chaux (Cossonay); La Praz; Mauraz; Moiry; Mont-la-Ville; Montricher; Senarclens,TRUE
VD50,La Sarraz-Nozon,15,Agiez; Arnex-sur-Orbe; Bofflens; Bretonnières; Croy; Eclépens; Ferreyres; Juriens; La Sarraz; Lussery-Villars; Orny; Pompaples; Premier; Romainmôtier-Envy; Vaulion,TRUE
VD51,Orbe-Gorges,8,L'Abergement; Les Clées; Lignerolle; Montcherand; Orbe; Rances; Sergey; Valeyres-sous-Rances,FALSE
VD52,Chavornay-Talent,5,Bavois; Chavornay; Goumoëns; Oulens-sous-Echallens; Penthéréaz,TRUE
VD53,Yverdon,3,Cheseaux-Noréaz; Cuarny; Yverdon-les-Bains,TRUE
VD54,Yvonand-Menthue,18,Belmont-sur-Yverdon; Bioley-Magnoux; Chêne-Pâquier; Chavannes-le-Chêne; Cronay; Démoret; Donneloye; Ependes (VD); Molondin; Oppens; Orzens; Pomy; Rovray; Suchy; Ursins; Valeyres-sous-Ursins; Villars-Epeney; Yvonand,TRUE
VD55,Val d'Arnon-Provence,11,Bonvillars; Champagne; Corcelles-près-Concise; Fiez; Fontaines-sur-Grandson; Grandevent; Mutrux; Novalles; Onnens (VD); Tévenon; Vugelles-La Mothe,TRUE
VD56,Yverdon-Couronne,12,Baulmes; Chamblon; Champvent; Giez; Grandson; Mathod; Montagny-près-Yverdon; Orges; Suscévaz; Treycovagnes; Valeyres-sous-Montagny; Vuiteboeuf,TRUE
VD57,Balcon-du-Jura,3,Bullet; Mauborget; Sainte-Croix,TRUE
VD58,Vallorbe-Ballaigues,2,Ballaigues; Vallorbe,FALSE
VD59,Vallée de Joux,3,L'Abbaye; Le Chenit; Le Lieu,FALSE
VD60,Moudon-Thierrens,8,Bussy-sur-Moudon; Chavannes-sur-Moudon; Montanaire; Moudon; Ogens; Prévondavaux; Syens; Villars-le-Comte,TRUE
VD61,Haut-Jorat,9,Corcelles-le-Jorat; Hermenches; Jorat-Mézières; Montpreveyres; Ropraz; Rossenges; Servion; Vucherens; Vulliens,FALSE
VD62,Oron-Palézieux,2,Maracon; Oron,FALSE
VD63,Moyenne-Broye,11,Champtauroz; Curtilles; Dompierre (VD); Henniez; Lovatens; Lucens; Prévonloup; Trey; Treytorrens (Payerne); Valbroye; Villarzel,TRUE
VD64,Payerne,3,Chevroux; Grandcour; Payerne,FALSE
VS01,Goms,9,Bellwald; Binn; Ernen; Fiesch; Fieschertal; Goms; Grengiols; Lax; Obergoms,FALSE
VS02,Brig-Glis,1,Brig-Glis,FALSE
VS03,Simplonpass,4,Ried-Brig; Simplon; Termen; Zwischbergen,TRUE
VS04,Naters-Mörel,6,Bettmeralp; Bister; Bitsch; Mörel-Filet; Naters; Riederalp,TRUE
VS05,Saastal,9,Eisten; Embd; Saas-Almagell; Saas-Balen; Saas-Fee; Saas-Grund; Stalden (VS); Staldenried; Törbel,TRUE
VS06,Raron-Lötschental,11,Ausserberg; Bürchen; Blatten; Eischoll; Ferden; Kippel; Niedergesteln; Raron; Steg-Hohtenn; Unterbäch; Wiler (Lötschen),TRUE
VS07,Zermatt,1,Zermatt,FALSE
VS08,Mattertal,4,Grächen; Randa; St. Niklaus; Täsch,FALSE
VS09,Visp,6,Baltschieder; Eggerberg; Lalden; Visp; Visperterminen; Zeneggen,TRUE
VS10,Susten-Gampel,6,Agarn; Ergisch; Gampel-Bratsch; Leuk; Oberems; Turtmann-Unterems,TRUE
VS11,Leuk-Leukerbad,6,Albinen; Guttet-Feschel; Inden; Leukerbad; Salgesch; Varen,TRUE
VS12,Chalais-Lens,6,Chalais; Grône; Icogne; Lens; Saint-Léonard; Sierre,TRUE
VS13,Sierre,2,Anniviers; Chippis,TRUE
VS14,NA,NA,NA,NA
VS15,NA,NA,NA,NA
VS16,Hauts-de-Sierre,2,Crans-Montana; Noble-Contrée,TRUE
VS17,Sion,2,Grimisuat; Savièse,TRUE
VS18,Chamoson-Vétroz,3,Ardon; Chamoson; Vétroz,TRUE
VS19,Sion-Couronne Est,2,Arbaz; Ayent,TRUE
VS20,Hérens,5,Evolène; Hérémence; Mont-Noble; Saint-Martin (VS); Vex,TRUE
VS21,Conthey,1,Conthey,TRUE
VS22,NA,NA,NA,NA
VS23,Nendaz,3,Nendaz; Sion; Veysonnaz,TRUE
VS24,Forclaz-Vallée du Trient,9,Bovernier; Collonges; Dorénaz; Finhaut; Martigny; Martigny-Combe; Salvan; Trient; Vernayaz,TRUE
VS25,Charrat-Riddes,3,Isérables; Riddes; Saxon,FALSE
VS26,Fully-Leytron,3,Fully; Leytron; Saillon,FALSE
VS27,NA,NA,NA,NA
VS28,Entremont,4,Bourg-Saint-Pierre; Liddes; Orsières; Sembrancher,FALSE
VS29,Bagnes,1,Val de Bagnes,TRUE
VS30,Collombey-Muraz,2,Collombey-Muraz; Vionnaz,TRUE
VS31,St-Maurice,4,Evionnaz; Massongex; Saint-Maurice; Vérossaz,TRUE
VS32,Monthey,1,Monthey,TRUE
VS33,Val d'Illiez,3,Champéry; Troistorrents; Val-d'Illiez,TRUE
VS34,Bas-Chablais Valaisan,3,Port-Valais; Saint-Gingolph; Vouvry,TRUE
ZG01,NA,NA,NA,NA
ZG02,Cham,1,Steinhausen,TRUE
ZG03,Menzingen,2,Baar; Neuheim,TRUE
ZG04,NA,NA,NA,NA
ZG05,Aegeri,2,Menzingen; Unterägeri,TRUE
ZG06,Walchwil,2,Walchwil; Zug,TRUE
ZG07,Hünenberg-Rotkreuz,3,Cham; Hünenberg; Risch,TRUE
ZG08,NA,NA,NA,NA
ZH01,Zürich-City,1,Zürich,TRUE
ZH02,NA,NA,NA,NA
ZH03,NA,NA,NA,NA
ZH04,NA,NA,NA,NA
ZH05,NA,NA,NA,NA
ZH06,NA,NA,NA,NA
ZH07,NA,NA,NA,NA
ZH08,NA,NA,NA,NA
ZH09,NA,NA,NA,NA
ZH10,Zürich-Leimbach-Albisgütli,1,Adliswil,TRUE
ZH11,Zürich-Zürichberg,1,Dübendorf,TRUE
ZH12,NA,NA,NA,NA
ZH13,NA,NA,NA,NA
ZH14,NA,NA,NA,NA
ZH15,NA,NA,NA,NA
ZH16,NA,NA,NA,NA
ZH17,NA,NA,NA,NA
ZH18,Zürich-Seebach,1,Opfikon,TRUE
ZH19,NA,NA,NA,NA
ZH20,NA,NA,NA,NA
ZH21,Regensdorf,1,Regensdorf,FALSE
ZH22,Maur-Fällanden,2,Fällanden; Maur,TRUE
ZH23,Glattbrugg,1,Rümlang,TRUE
ZH24,Kloten,1,Kloten,TRUE
ZH25,Bassersdorf-Nürensdorf,2,Bassersdorf; Nürensdorf,FALSE
ZH26,Dietlikon-Wangen-Brüttisellen,2,Dietlikon; Wangen-Brüttisellen,TRUE
ZH27,Dübendorf,1,Schwerzenbach,TRUE
ZH28,Volketswil,1,Volketswil,TRUE
ZH29,Engstringen-Weiningen,3,Oberengstringen; Unterengstringen; Weiningen (ZH),TRUE
ZH30,Birmensdorf,3,Aesch (ZH); Birmensdorf (ZH); Uitikon,TRUE
ZH31,Urdorf,2,Schlieren; Urdorf,TRUE
ZH32,Fahrweid-Oetwil,2,Geroldswil; Oetwil an der Limmat,FALSE
ZH33,NA,NA,NA,NA
ZH34,Dietikon,1,Dietikon,FALSE
ZH35,Bonstetten-Reppischtal,3,Bonstetten; Stallikon; Wettswil am Albis,TRUE
ZH36,Affoltern am Albis,3,Affoltern am Albis; Hedingen; Obfelden,TRUE
ZH37,Obfelden,2,Maschwanden; Ottenbach,FALSE
ZH38,Knonaueramt,6,Aeugst am Albis; Hausen am Albis; Kappel am Albis; Knonau; Mettmenstetten; Rifferswil,TRUE
ZH39,NA,NA,NA,NA
ZH40,Langnau am Albis,2,Langnau am Albis; Thalwil,TRUE
ZH41,Thalwil,1,Oberrieden,FALSE
ZH42,Kilchberg-Rüschlikon,2,Kilchberg (ZH); Rüschlikon,FALSE
ZH43,Wädenswil,1,Wädenswil,TRUE
ZH44,Richterswil,1,Richterswil,FALSE
ZH45,Horgen,1,Horgen,TRUE
ZH46,NA,NA,NA,NA
ZH47,Zollikon,1,Zollikon,FALSE
ZH48,Zumikon-Forch,2,Küsnacht (ZH); Zumikon,TRUE
ZH49,Egg bei Zürich,1,Egg,TRUE
ZH50,Oetwil-Hombrechtikon,3,Hombrechtikon; Männedorf; Oetwil am See,TRUE
ZH51,NA,NA,NA,NA
ZH52,Herrliberg-Erlenbach,2,Erlenbach (ZH); Herrliberg,FALSE
ZH53,Meilen,1,Meilen,FALSE
ZH54,Männedorf-Uetikon,1,Uetikon am See,FALSE
ZH55,Stäfa,1,Stäfa,TRUE
ZH56,Fehraltorf,3,Fehraltorf; Russikon; Wildberg,TRUE
ZH57,Wila-Tösstal,2,Bauma; Wila,FALSE
ZH58,Pfäffikon ZH,1,Pfäffikon,TRUE
ZH59,Bäretswil-Hittnau,2,Bäretswil; Hittnau,TRUE
ZH60,Hinwil,1,Hinwil,TRUE
ZH61,Wald-Tösstal,3,Fischenthal; Rüti (ZH); Wald (ZH),TRUE
ZH62,Greifensee,1,Greifensee,FALSE
ZH63,Wetzikon,3,Mönchaltorf; Seegräben; Wetzikon (ZH),TRUE
ZH64,Bubikon-Dürnten,2,Bubikon; Dürnten,TRUE
ZH65,Uster,1,Uster,TRUE
ZH66,Mönchaltorf-Gossau-Grüningen,2,Gossau (ZH); Grüningen,FALSE
ZH67,NA,NA,NA,NA
ZH68,Effretikon-Kemptthal,1,Illnau-Effretikon,TRUE
ZH69,Illnau-Weisslingen,1,Weisslingen,TRUE
ZH70,Lindau-Brütten,2,Brütten; Lindau,TRUE
ZH71,Elgg-Elsau,3,Elgg; Elsau; Schlatt (ZH),TRUE
ZH72,NA,NA,NA,NA
ZH73,Winterthur-Oberwinterthur,1,Winterthur,TRUE
ZH74,NA,NA,NA,NA
ZH75,NA,NA,NA,NA
ZH76,NA,NA,NA,NA
ZH77,Neftenbach,3,Dättlikon; Neftenbach; Pfungen,FALSE
ZH78,Seuzach,3,Dägerlen; Hettlingen; Seuzach,FALSE
ZH79,Wiesendangen-Ellikon,4,Dinhard; Ellikon an der Thur; Rickenbach (ZH); Wiesendangen,TRUE
ZH80,Untertösstal,2,Turbenthal; Zell (ZH),TRUE
ZH81,Feuerthalen-Uhwiesen,4,Dachsen; Feuerthalen; Flurlingen; Laufen-Uhwiesen,TRUE
ZH82,Südweinland,7,Andelfingen; Berg am Irchel; Buch am Irchel; Dorf; Flaach; Henggart; Volken,FALSE
ZH83,Nordweinland,5,Benken (ZH); Kleinandelfingen; Marthalen; Rheinau; Trüllikon,TRUE
ZH84,Ostweinland,5,Altikon; Ossingen; Stammheim; Thalheim an der Thur; Truttikon,TRUE
ZH85,Hasli-Glatt,4,Niederglatt; Niederhasli; Oberglatt; Steinmaur,TRUE
ZH86,Dielsdorf-Wehntal,6,Boppelsen; Dielsdorf; Niederweningen; Regensberg; Schöfflisdorf; Schleinikon,TRUE
ZH87,Stadel,6,Bachs; Höri; Hochfelden; Neerach; Stadel; Weiach,TRUE
ZH88,Bülach,3,Bülach; Bachenbülach; Winkel,TRUE
ZH89,NA,NA,NA,NA
ZH90,Glattfelden-Rafz,6,Eglisau; Glattfelden; Hüntwangen; Rafz; Wasterkingen; Wil (ZH),FALSE
ZH91,Embrach,5,Embrach; Freienstein-Teufen; Lufingen; Oberembrach; Rorbas,FALSE
ZH92,Unterfurttal,5,Buchs (ZH); Dällikon; Dänikon; Hüttikon; Otelfingen,FALSE
ZH93,Wallisellen,1,Wallisellen,FALSE
